<<<<<<< HEAD
2024-11-17 07:28:56.328 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.PlotVzBox.PlotVzBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:28:59.341 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:43:26.744 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.PlotVzBox.PlotVzBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:43:29.975 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:43:33.774 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 7_pub, Node 7)
2024-11-17 07:43:35.583 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 7_pub, Node 7)
2024-11-17 07:43:36.705 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 3_pub, Node 3)
2024-11-17 07:43:38.034 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 8_pub, Node 8)
2024-11-17 07:43:39.532 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 1_pub, Node 1)
2024-11-17 07:43:40.793 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 2_pub, Node 2)
2024-11-17 07:43:41.792 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 5_pub, Node 5)
2024-11-17 07:43:42.712 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 3_pub, Node 3)
2024-11-17 07:43:45.212 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 3_pub, Node 3)
